t_d	Normalized Data	t_d	ΔT_ph	ΔT_e	ΔT_m
-1.13185	0.0703481248640974	-1.5	0	0	0
-0.79851	0.391052811269382	-1.49824912456228	0	0	0
-0.46517	0.107177437114668	-1.49649824912456	1.95095208730852e-06	0.00391817997167085	8.56183743107557e-06
-0.13184	11.6839959014483	-1.49474737368684	1.01551500417418e-05	0.0125457677546424	4.45087987935852e-05
0.2015	34.2914003315836	-1.49299649824912	2.76277379137992e-05	0.0225013820368823	0.000120935733195505
0.53483	41.3812498725187	-1.49124562281141	5.54497919333477e-05	0.0333176585145379	0.000242471598039569
0.86818	33.6235069600891	-1.48949474737369	9.42844371462567e-05	0.0446569649706811	0.000411958509372202
1.20155	25.0757959858957	-1.48774387193597	0.000144519468452691	0.0563087465857831	0.000631022050923184
1.53485	20.0086619384738	-1.48599299649825	0.000206366355287374	0.0681246914569386	0.000900491415137931
1.86815	17.3039834480008	-1.48424212106053	0.000279912243714838	0.079997872770354	0.00122063049677906
2.20155	15.9719210122702	-1.48249124562281	0.000365155410505272	0.0918519073780223	0.00159129858433882
2.53485	15.0040135809656	-1.48074037018509	0.000462030301451828	0.103631235858593	0.00201206527764133
2.86815	14.5724071465068	-1.47898949474737	0.00057042530102777	0.115296057146628	0.00248229242675701
3.20155	13.8250617683813	-1.47723861930965	0.000690195652393419	0.126817408196527	0.00300119373033296
3.53485	13.5258753348358	-1.47548774387194	0.000821172782357748	0.138174695541567	0.00356787777918143
3.8682	13.4662863343715	-1.47373686843422	0.000963171183131523	0.149353106416699	0.0041813797388659
4.20155	13.0226793352536	-1.4719859929965	0.00111599341904115	0.160342343390835	0.00484068437273095
4.53485	12.5004479730083	-1.47023511755878	0.00127947003642614	0.171207912770886	0.0055449019014345
4.86815	12.5132761505178	-1.46848424212106	0.00145351651846991	0.182053785532925	0.00629351737191002
0	0	-1.46673336668334	0.00163812394382233	0.192926627737555	0.00708634818260087
0	0	-1.46498249124562	0.00183331745483625	0.203847696682878	0.00792336199472836
0	0	-1.4632316158079	0.00203913998643503	0.214831855956582	0.00880460643618643
0	0	-1.46148074037019	0.00225564671325197	0.2258895124657	0.00973018486393275
0	0	-1.45972986493247	0.00248290131282879	0.237027983905631	0.0107002394773062
0	0	-1.45797898949475	0.00272097334547869	0.248252313734525	0.011714939297173
0	0	-1.45622811405703	0.00296993639513917	0.259565993349094	0.012774471579796
