t_d_model_ps	DeltaT_lattice_K	DeltaT_electron_K
-0.730353569046031	295.000359885696	295.048351187477
-0.728218812541694	295.000370206743	295.04962210904
-0.726084056037358	295.000380799076	295.050922990701
-0.723949299533022	295.000391669091	295.052254439898
-0.721814543028686	295.000402823312	295.053617073714
-0.71967978652435	295.000414268396	295.055011518958
-0.717545030020013	295.000426011132	295.056438412248
-0.715410273515677	295.000438058446	295.057898400096
-0.713275517011341	295.000450417403	295.059392138984
-0.711140760507005	295.000463095206	295.060920295448
-0.709006004002668	295.000476099201	295.062483546153
-0.706871247498332	295.000489436881	295.06408257797
-0.704736490993996	295.00050311588	295.065718088052
-0.70260173448966	295.000517143987	295.067390783908
-0.700466977985323	295.000531529137	295.069101383473
-0.698332221480987	295.000546279421	295.070850615181
-0.696197464976651	295.000561403086	295.072639218029
-0.694062708472315	295.000576908534	295.074467941649
-0.691927951967979	295.000592804328	295.07633754637
-0.689793195463642	295.000609099196	295.078248803281
-0.687658438959306	295.000625802026	295.080202494293
-0.68552368245497	295.000642921876	295.082199412195
-0.683388925950634	295.000660467973	295.084240360712
-0.681254169446297	295.000678449714	295.086326154561
-0.679119412941961	295.000696876672	295.088457619499
-0.676984656437625	295.000715758593	295.090635592376
-0.674849899933289	295.000735105406	295.092860921179
-0.672715143428953	295.000754927216	295.09513446508
-0.670580386924616	295.000775234315	295.097457094471
-0.66844563042028	295.000796037181	295.099829691011
-0.666310873915944	295.000817346477	295.102253147655
-0.664176117411608	295.000839173059	295.104728368693
-0.662041360907272	295.000861527975	295.107256269775
-0.659906604402935	295.000884422469	295.109837777941
-0.657771847898599	295.000907867983	295.112473831644
-0.655637091394263	295.000931876158	295.115165380771
-0.653502334889926	295.000956458839	295.11791338666
-0.65136757838559	295.000981628076	295.120718822115
-0.649232821881254	295.001007396125	295.123582671411
-0.647098065376918	295.001033775455	295.126505930311
-0.644963308872582	295.001060778745	295.129489606058
-0.642828552368245	295.001088418889	295.132534717382
-0.640693795863909	295.001116709001	295.135642294493
-0.638559039359573	295.001145662411	295.138813379071
-0.636424282855237	295.001175292674	295.142049024255
