t_d_model_ps	DeltaT_lattice_K	DeltaT_electron_K
-4.64976651100734	295	295
-4.6450967311541	295	295
-4.64042695130087	295	295
-4.63575717144763	295	295
-4.6310873915944	295	295
-4.62641761174116	295	295
-4.62174783188792	295	295
-4.61707805203469	295	295
-4.61240827218145	295	295
-4.60773849232822	295	295
-4.60306871247498	295	295
-4.59839893262175	295	295
-4.59372915276851	295	295
-4.58905937291528	295	295
-4.58438959306204	295	295
-4.57971981320881	295	295
-4.57505003335557	295	295
-4.57038025350233	295	295
-4.5657104736491	295	295
-4.56104069379586	295	295
-4.55637091394263	295	295
-4.55170113408939	295	295
-4.54703135423616	295	295
-4.54236157438292	295	295
-4.53769179452969	295	295
-4.53302201467645	295	295
-4.52835223482322	295	295
-4.52368245496998	295	295
-4.51901267511674	295	295
-4.51434289526351	295	295
-4.50967311541027	295	295
-4.50500333555704	295	295
-4.5003335557038	295	295
-4.49566377585057	295	295
-4.49099399599733	295	295
-4.4863242161441	295	295
-4.48165443629086	295	295
-4.47698465643762	295	295
-4.47231487658439	295	295
-4.46764509673115	295	295
-4.46297531687792	295	295
-4.45830553702468	295	295
-4.45363575717145	295	295
-4.44896597731821	295	295
-4.44429619746498	295	295
-4.43962641761174	295	295
-4.43495663775851	295	295
-4.43028685790527	295	295
-4.42561707805203	295	295
-4.4209472981988	295	295
-4.41627751834556	295	295
-4.41160773849233	295	295
-4.40693795863909	295	295
-4.40226817878586	295	295
-4.39759839893262	295	295
-4.39292861907939	295	295
-4.38825883922615	295	295
-4.38358905937292	295	295
-4.37891927951968	295	295
-4.37424949966644	295	295
-4.36957971981321	295	295
-4.36490993995997	295	295
-4.36024016010674	295	295
-4.3555703802535	295	295
-4.35090060040027	295	295
-4.34623082054703	295	295
-4.3415610406938	295	295
-4.33689126084056	295	295
-4.33222148098732	295	295
-4.32755170113409	295	295
-4.32288192128085	295	295
-4.31821214142762	295	295
-4.31354236157438	295	295
-4.30887258172115	295	295
-4.30420280186791	295	295
-4.29953302201468	295	295
-4.29486324216144	295	295
-4.29019346230821	295	295
-4.28552368245497	295	295
-4.28085390260173	295	295
-4.2761841227485	295	295
-4.27151434289526	295	295
-4.26684456304203	295	295
-4.26217478318879	295	295
-4.25750500333556	295	295
-4.25283522348232	295	295
-4.24816544362909	295	295
-4.24349566377585	295	295
-4.23882588392261	295	295
-4.23415610406938	295	295
-4.22948632421614	295	295
-4.22481654436291	295	295
-4.22014676450967	295	295
-4.21547698465644	295	295
-4.2108072048032	295	295
-4.20613742494997	295	295
-4.20146764509673	295	295
-4.1967978652435	295	295
-4.19212808539026	295	295
-4.18745830553702	295	295
-4.18278852568379	295	295
-4.17811874583055	295	295
-4.17344896597732	295	295
-4.16877918612408	295	295
-4.16410940627085	295	295
-4.15943962641761	295	295
-4.15476984656438	295	295
-4.15010006671114	295	295
-4.1454302868579	295	295
-4.14076050700467	295	295
-4.13609072715143	295	295
-4.1314209472982	295	295
-4.12675116744496	295	295
-4.12208138759173	295	295
-4.11741160773849	295	295
-4.11274182788526	295	295
-4.10807204803202	295	295
-4.10340226817878	295	295
-4.09873248832555	295	295
-4.09406270847231	295	295
-4.08939292861908	295	295
-4.08472314876584	295	295
-4.08005336891261	295	295
-4.07538358905937	295	295
-4.07071380920614	295	295
-4.0660440293529	295	295
-4.06137424949967	295	295
-4.05670446964643	295	295
-4.0520346897932	295	295
-4.04736490993996	295	295
-4.04269513008672	295	295
-4.03802535023349	295	295
-4.03335557038025	295	295
-4.02868579052702	295	295
-4.02401601067378	295	295
-4.01934623082055	295	295
-4.01467645096731	295	295
-4.01000667111408	295	295
-4.00533689126084	295	295
-4.0006671114076	295	295
-3.99599733155437	295	295
-3.99132755170113	295	295
-3.9866577718479	295	295
-3.98198799199466	295	295
-3.97731821214143	295	295
-3.97264843228819	295	295
-3.96797865243496	295	295
-3.96330887258172	295	295
-3.95863909272849	295	295
-3.95396931287525	295	295
-3.94929953302201	295	295
-3.94462975316878	295	295
-3.93995997331554	295	295
-3.93529019346231	295	295
-3.93062041360907	295	295
-3.92595063375584	295	295
-3.9212808539026	295	295
-3.91661107404937	295	295
-3.91194129419613	295	295
-3.9072715143429	295	295
-3.90260173448966	295	295
-3.89793195463642	295	295
-3.89326217478319	295	295
-3.88859239492995	295	295
-3.88392261507672	295	295
-3.87925283522348	295	295
-3.87458305537025	295	295
-3.86991327551701	295	295
-3.86524349566378	295	295
-3.86057371581054	295	295
-3.8559039359573	295	295
-3.85123415610407	295	295
-3.84656437625083	295	295
-3.8418945963976	295	295
-3.83722481654436	295	295
-3.83255503669113	295	295
-3.82788525683789	295	295
-3.82321547698466	295	295
-3.81854569713142	295	295
-3.81387591727818	295	295
-3.80920613742495	295	295
-3.80453635757171	295	295
-3.79986657771848	295	295
-3.79519679786524	295	295
-3.79052701801201	295	295
-3.78585723815877	295	295
-3.78118745830554	295	295
-3.7765176784523	295	295
-3.77184789859907	295	295
-3.76717811874583	295	295
-3.76250833889259	295	295
-3.75783855903936	295	295
-3.75316877918612	295	295
-3.74849899933289	295	295
-3.74382921947965	295	295
-3.73915943962642	295	295
-3.73448965977318	295	295
-3.72981987991995	295	295
-3.72515010006671	295	295
-3.72048032021348	295	295
-3.71581054036024	295	295
-3.711140760507	295	295
-3.70647098065377	295	295
-3.70180120080053	295	295
-3.6971314209473	295	295
-3.69246164109406	295	295
-3.68779186124083	295	295
-3.68312208138759	295	295
-3.67845230153436	295	295
-3.67378252168112	295	295
-3.66911274182788	295	295
-3.66444296197465	295	295
-3.65977318212141	295	295
-3.65510340226818	295	295
-3.65043362241494	295	295
-3.64576384256171	295	295
-3.64109406270847	295	295
-3.63642428285524	295	295
-3.631754503002	295	295
-3.62708472314877	295	295
-3.62241494329553	295	295
-3.6177451634423	295	295
-3.61307538358906	295	295
-3.60840560373582	295	295
-3.60373582388259	295	295
-3.59906604402935	295	295
-3.59439626417612	295	295
-3.58972648432288	295	295
-3.58505670446965	295	295
-3.58038692461641	295	295
-3.57571714476318	295	295
-3.57104736490994	295	295
-3.5663775850567	295	295.000000000001
-3.56170780520347	295	295.000000000001
-3.55703802535023	295	295.000000000001
-3.552368245497	295	295.000000000001
-3.54769846564376	295	295.000000000001
-3.54302868579053	295	295
-3.53835890593729	295	295.000000000001
-3.53368912608406	295	295
-3.52901934623082	295	295.000000000001
-3.52434956637758	295	295
-3.51967978652435	295	295
-3.51501000667111	295	295
-3.51034022681788	295	295
-3.50567044696464	295	295
-3.50100066711141	295	295
-3.49633088725817	295	295
-3.49166110740494	295	295
-3.4869913275517	295	295
-3.48232154769847	295	295
-3.47765176784523	295	295
-3.47298198799199	295	295
-3.46831220813876	295	295
-3.46364242828552	295	295
-3.45897264843229	295	295
-3.45430286857905	295	295
-3.44963308872582	295	295
-3.44496330887258	295	295.000000000001
-3.44029352901935	295	295.000000000001
-3.43562374916611	295	295
-3.43095396931287	295	295
-3.42628418945964	295	295
-3.4216144096064	295	295.000000000001
-3.41694462975317	295	295
-3.41227484989993	295	295.000000000001
-3.4076050700467	295	295
-3.40293529019346	295	295.000000000001
-3.39826551034023	295	295.000000000001
-3.39359573048699	295	295.000000000001
-3.38892595063376	295	295.000000000001
-3.38425617078052	295	295.000000000001
-3.37958639092728	295	295
-3.37491661107405	295	295
-3.37024683122081	295	295
-3.36557705136758	295	295.000000000001
-3.36090727151434	295	295.000000000001
-3.35623749166111	295	295.000000000001
-3.35156771180787	295	295
-3.34689793195464	295	295
-3.3422281521014	295	295
-3.33755837224816	295	295
-3.33288859239493	295	295
-3.32821881254169	295	295
-3.32354903268846	295	295
-3.31887925283522	295	295
-3.31420947298199	295	295
-3.30953969312875	295	295
-3.30486991327552	295	295
-3.30020013342228	295	295
-3.29553035356905	295	295
-3.29086057371581	295	295
-3.28619079386257	295	295
-3.28152101400934	295	295
-3.2768512341561	295	295
-3.27218145430287	295	295
-3.26751167444963	295	295
-3.2628418945964	295	295
-3.25817211474316	295	295
-3.25350233488993	295	295
-3.24883255503669	295	295
-3.24416277518346	295	295
-3.23949299533022	295	295
-3.23482321547698	295	295.000000000001
-3.23015343562375	295	295.000000000001
-3.22548365577051	295	295
-3.22081387591728	295	295.000000000001
-3.21614409606404	295	295
-3.21147431621081	295	295.000000000001
-3.20680453635757	295	295
-3.20213475650434	295	295
-3.1974649766511	295	295
-3.19279519679786	295	295
-3.18812541694463	295	295
-3.18345563709139	295	295
-3.17878585723816	295	295
-3.17411607738492	295	295
-3.16944629753169	295	295
-3.16477651767845	295	295
-3.16010673782522	295	295
-3.15543695797198	295	295
-3.15076717811875	295	295
-3.14609739826551	295	295.000000000001
-3.14142761841227	295	295.000000000001
-3.13675783855904	295	295.000000000001
-3.1320880587058	295	295.000000000001
-3.12741827885257	295	295.000000000001
-3.12274849899933	295	295.000000000001
-3.1180787191461	295	295.000000000001
-3.11340893929286	295	295.000000000001
-3.10873915943963	295	295.000000000001
